ticker
AAPL
MSFT
NVDA
AMZN
META
GOOGL
BRK-B
JPM
JNJ
V
PG
UNH
HD
MA
XOM
CVX
LLY
ABBV
MRK
PEP
KO
COST
WMT
BAC
CSCO
AVGO
TMO
ACN
MCD
CRM
